,Unnamed: 0,Unnamed: 0.1,MJD,Filename,RV,RV_std
0,0,0,58639.45844209671,217014_190605.1077.fits,54.70820213,0.404376714
1,1,1,58641.4517488348,217014_190607.1100.fits,-52.84962423,0.515625137
2,2,2,58641.45777296217,217014_190607.1101.fits,-53.66163707,0.709514141
3,3,3,58643.4621803581,217014_190609.1082.fits,46.5741529,0.5210495860000001
4,4,4,58644.46095886025,217014_190610.1041.fits,33.5356438,0.511924521
5,5,5,58646.45596960049,217014_190612.1109.fits,-43.41094151,0.443877713
6,6,6,58646.46128596306,217014_190612.1110.fits,-42.24109113,0.4379259720000001
7,7,7,58648.45616275359,217014_190614.1158.fits,48.08170106,0.505269958
8,8,8,58648.46152851459,217014_190614.1159.fits,48.71112956,0.498450994
9,9,9,58650.45023527317,217014_190616.1087.fits,-53.0920841,0.473739411
10,10,10,58650.45554207818,217014_190616.1088.fits,-53.74128113,0.486323076
11,11,11,58651.44396062128,217014_190617.1107.fits,14.31682329,1.130246989
12,12,12,58651.45293218899,217014_190617.1108.fits,16.40344689,0.431338509
13,13,13,58651.46111673029,217014_190617.1112.fits,16.51504869,0.5186153379999999
14,14,14,58652.45639373711,217014_190618.1138.fits,53.33579458,0.6525417929999999
15,15,15,58652.46179740722,217014_190618.1139.fits,52.69570105,0.666897252
16,16,16,58655.43242566599,217014_190621.1099.fits,-4.267547095,0.459251953
17,17,17,58655.43770402787,217014_190621.1100.fits,-4.148183406,0.453202032
18,18,18,58657.45605134273,217014_190623.1129.fits,11.48375188,0.706078055
19,19,19,58657.46124789059,217014_190623.1130.fits,11.79187442,0.623437496
20,20,20,58658.4537114166,217014_190624.1107.fits,-54.61425786,0.361333259
21,21,21,58658.45667482856,217014_190624.1108.fits,-53.95922985,0.342796673
22,22,22,58658.45959985401,217014_190624.1109.fits,-53.68950574,0.341291621
23,23,23,58658.46263376198,217014_190624.1110.fits,-54.95839797,0.329867653
24,24,24,58658.46524994198,217014_190624.1111.fits,-54.35727927,0.35034382
25,25,25,58664.44793384027,217014_190630.1129.fits,36.33495869,1.170659781
26,26,26,58664.4582678801,217014_190630.1134.fits,35.86622825,1.269862319
27,27,27,58665.46178185099,217014_190701.1111.fits,43.91854699,0.537617763
28,28,28,58749.22186594485,217014_190923.1126.fits,47.00085766,0.6841211540000001
29,29,29,58749.22723506253,217014_190923.1127.fits,48.18117911,0.687704298
30,30,30,58763.23361812179,217014_191007.1082.fits,13.39860098,0.4661242820000001
31,31,31,58763.23919423867,217014_191007.1083.fits,12.11199493,0.455012073
32,32,32,58764.31154828679,217014_191008.1072.fits,-53.65128681,0.401367658
33,33,33,58764.3180509371,217014_191008.1073.fits,-53.76538082,0.372349305
34,34,34,58772.3159028275,217014_191016.1072.fits,-36.67966864,0.414113438
35,35,35,58772.32108577448,217014_191016.1073.fits,-37.06063759,0.419585709
36,36,36,58780.11481925272,217014_191024.1198.fits,16.52873944,0.463647762
37,37,37,58780.12126976415,217014_191024.1199.fits,15.72843939,0.461969063
38,38,38,58787.19804950554,217014_191031.1070.fits,43.65931833,0.556871265
39,39,39,58787.20611032078,217014_191031.1071.fits,44.98102075,0.504001908
40,40,40,58796.09926276017,217014_191109.1083.fits,58.19544197,0.5456009470000001
41,41,41,58796.10208268603,217014_191109.1084.fits,57.45551736,0.543891885
42,42,42,58796.10482439474,217014_191109.1085.fits,58.35589027,0.546085645
43,43,43,58796.10753152912,217014_191109.1086.fits,57.71717837,0.543232215
44,44,44,58798.12817837011,217014_191111.1094.fits,-52.39606933,0.411806257
45,45,45,58798.12989305292,217014_191111.1095.fits,-55.14773749,0.410545809
46,46,46,58798.13162186981,217014_191111.1096.fits,-53.50183839,0.410894006
47,47,47,58798.13347060606,217014_191111.1097.fits,-51.89872683,0.409080206
48,48,48,58803.11081500784,217014_191116.1097.fits,-34.49203525,0.418168307
49,49,49,58803.11399978829,217014_191116.1098.fits,-33.28565019,0.418068394
50,50,50,58803.11655754947,217014_191116.1099.fits,-34.08586751,0.415846234
51,51,51,58803.1189278687,217014_191116.1100.fits,-32.25248764,0.413209739
52,52,52,58804.07669808206,217014_191117.1081.fits,39.31187952,0.502756261
53,53,53,58804.08090678119,217014_191117.1082.fits,40.05795213,0.501677197
54,54,54,58804.08468690123,217014_191117.1083.fits,40.91637416,0.5038637189999999
55,55,55,58804.0882976791,217014_191117.1084.fits,41.21155828,0.502950951
