,Day,RV,RV_std
0,1.9564583333333334,59.925346530482294,0.6745252479402064
1,1.9617361111111111,59.74089646482104,0.6456197868367745
2,5.958645833333334,70.42484664749486,0.907280140407593
3,5.963912037037037,70.79205707936063,0.8891600776932814
4,8.950231481481481,-10.358321099089796,1.0834473532508129
5,8.955509259259259,-11.349371842123187,1.148332390353672
6,8.96076388888889,-10.776852047288669,1.1986609000857251
7,10.96107638888889,41.92788868136614,1.0946368193993077
8,11.947557870370371,-32.476807113199456,1.1674775116377702
9,11.952824074074075,-30.93166578132155,1.1963098747108492
10,11.958101851851852,-34.09815935845867,1.251550560443807
11,27.91761574074074,35.598826974332994,0.7401999703824216
12,27.933391203703703,32.2140104477499,0.677461907062722
13,28.94847222222222,-33.41820745031131,0.616047183750265
14,28.95372685185185,-35.46274528281999,0.5787578559097254
15,29.936724537037037,-22.961057863811263,0.6607158048648173
16,29.941979166666666,-23.42077025765221,0.7268125429569875
17,29.94724537037037,-22.92303187564909,0.6987446961957965
18,29.956574074074073,-21.749385452951454,0.722002566736905
19,29.961840277777778,-21.761040108381952,0.7784999336621433
20,33.945162037037036,-30.31608085437207,0.732003399532021
21,33.95047453703704,-31.862344188677454,0.7191121108569268
22,33.95577546296296,-30.12051902847989,0.7507078821063423
23,33.961087962962964,-30.378065784442374,0.7907907469256303
24,34.952083333333334,42.71778959908193,0.6395097435311008
25,34.957372685185184,42.77543648256621,0.5525088209111922
26,34.96268518518519,43.575066655703715,0.6465246154548278
27,36.95525462962963,-6.8871780140969685,0.5485465282119661
28,36.96055555555556,-7.418890862108519,0.5381575772304305
29,36.96586805555555,-9.161203940896458,0.5392125876051954
30,38.94612268518519,25.633772872351265,0.5267051669419256
31,38.95142361111111,25.63756067471673,1.0395143959886823
32,39.96357638888889,67.28653197611504,0.5452423738775206
33,39.97238425925926,66.46484971383843,0.5404407006873868
34,40.944016203703704,13.882317294340485,0.5359896379150041
35,40.94931712962963,14.057996807443935,0.53336362561958
36,40.95461805555556,12.381652014029017,0.5323877992419359
37,41.88707175925926,-1.6323060793218285,0.169104903951579
38,41.89237268518519,-40.01908952489057,0.6134115437323335
39,41.89767361111111,-41.44165379016996,0.5419619541667108
40,41.954375,-41.28966563601516,0.5327695677882884
41,41.9596875,-41.449530207500906,0.5364718000831924
42,41.964988425925924,-41.506296272646324,0.5380794151299703
